2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:17:32,536 - INFO - Env 03, Goal (-05.7, -03.2), Episode 00003, setp 100, Reward 34.1 , Distance 008.1, Reach Goal
2019-07-24 16:17:32,989 - INFO - Env 06, Goal (002.6, -04.2), Episode 00002, setp 098, Reward 35.5 , Distance 008.8, Reach Goal
2019-07-24 16:17:33,774 - INFO - Env 20, Goal (006.2, -02.3), Episode 00002, setp 108, Reward 37.9 , Distance 009.7, Reach Goal
2019-07-24 16:17:34,158 - INFO - Env 21, Goal (003.8, 003.6), Episode 00004, setp 097, Reward 4.7  , Distance 009.9, Crashed
2019-07-24 16:17:34,158 - INFO - Env 20, Goal (-00.1, -04.6), Episode 00003, setp 002, Reward -15.0, Distance 008.3, Crashed
2019-07-24 16:17:35,712 - INFO - Env 10, Goal (005.8, 003.9), Episode 00003, setp 078, Reward 34.5 , Distance 008.3, Reach Goal
2019-07-24 16:17:37,250 - INFO - Env 07, Goal (-07.2, -00.5), Episode 00003, setp 103, Reward -4.0 , Distance 008.3, Crashed
2019-07-24 16:17:38,849 - INFO - Env 05, Goal (007.3, -03.5), Episode 00003, setp 089, Reward 35.8 , Distance 008.8, Reach Goal
2019-07-24 16:17:39,789 - INFO - Env 18, Goal (002.8, 001.7), Episode 00003, setp 152, Reward 19.2 , Distance 009.8, Time out
2019-07-24 16:17:40,356 - INFO - Env 02, Goal (-02.7, -08.0), Episode 00004, setp 098, Reward 34.8 , Distance 008.4, Reach Goal
2019-07-24 16:17:41,260 - INFO - Env 04, Goal (003.1, 001.7), Episode 00004, setp 092, Reward 35.6 , Distance 008.8, Reach Goal
2019-07-24 16:17:41,541 - INFO - Env 12, Goal (-03.9, -07.2), Episode 00003, setp 098, Reward 37.4 , Distance 009.6, Reach Goal
2019-07-24 16:17:42,225 - INFO - Env 22, Goal (-02.8, 004.2), Episode 00004, setp 100, Reward 35.9 , Distance 008.9, Reach Goal
2019-07-24 16:17:42,834 - INFO - Env 19, Goal (-00.2, -05.3), Episode 00004, setp 097, Reward 35.9 , Distance 008.9, Reach Goal
2019-07-24 16:17:42,835 - INFO - Env 13, Goal (007.2, -01.3), Episode 00003, setp 112, Reward 37.0 , Distance 009.3, Reach Goal
2019-07-24 16:17:43,461 - INFO - Env 14, Goal (-05.4, 005.8), Episode 00003, setp 105, Reward 36.4 , Distance 009.1, Reach Goal
2019-07-24 16:17:43,821 - INFO - Env 09, Goal (002.2, -07.5), Episode 00003, setp 105, Reward 38.3 , Distance 009.9, Reach Goal
2019-07-24 16:17:44,328 - INFO - Env 06, Goal (-01.4, 005.1), Episode 00003, setp 077, Reward 0.2  , Distance 010.0, Crashed
2019-07-24 16:17:44,684 - INFO - Env 06, Goal (001.4, 000.7), Episode 00004, setp 002, Reward -15.0, Distance 010.0, Crashed
2019-07-24 16:17:44,684 - INFO - Env 09, Goal (-00.4, 004.2), Episode 00004, setp 005, Reward -15.1, Distance 009.3, Crashed
2019-07-24 16:17:44,684 - INFO - Env 08, Goal (002.4, 008.3), Episode 00003, setp 113, Reward 38.6 , Distance 010.0, Reach Goal
2019-07-24 16:17:44,978 - INFO - Env 14, Goal (-03.3, 007.9), Episode 00004, setp 008, Reward -15.3, Distance 009.4, Crashed
2019-07-24 16:17:44,978 - INFO - Env 03, Goal (-08.8, 000.4), Episode 00004, setp 081, Reward 34.8 , Distance 008.5, Reach Goal
2019-07-24 16:17:44,979 - INFO - Env 06, Goal (-01.8, 004.9), Episode 00005, setp 002, Reward -15.0, Distance 008.0, Crashed
2019-07-24 16:17:44,979 - INFO - Env 08, Goal (004.4, -07.5), Episode 00004, setp 002, Reward -15.0, Distance 008.7, Crashed
